id,post/keyword,comment/tweet,username,like count,replied to,reply count,2nd level comment/ reply,time created,majority_sent,majority_sarc,lang_id
29006,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",TERBAIKKKK WARGA MALAYSIA.... MEMBERI SUMBANGAN....????????????????????????????,fdb58770-2f3,6,---,0,No,6/7/2022,positive,notsarc,my
29007,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",insyaallah kami akan menyusul raya ke 2 isnin nanti,6dd0f9cd-086,2,---,0,No,6/7/2022,positive,notsarc,my
29008,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022","Alhamdulillah,moga dpermudahkan sgala urusan",3de874e1-fe3,2,---,0,No,6/7/2022,positive,notsarc,my
29009,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",Ni bukan yg sodok JPJ tu ke?... JPJ ada turun sekali x?????,e8fdcb05-294,1,---,0,No,6/7/2022,neutral,notsarc,my
29010,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",alhamdulillah...bantuan sampai??????support??,d7cf4469-6c9,1,---,0,No,5/7/2022,positive,notsarc,my
29011,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",Nak tanya JPJ ada dtg tolong x,cd8cb863-cf9,0,---,0,No,6/7/2022,neutral,notsarc,my
29012,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",Alhamdulillahhh moga dipermudah semua urusan pihak yg membantu dan pihak mangsa2,dc92c3ea-2ed,0,---,0,No,6/7/2022,positive,notsarc,my
29013,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022","bila satu negeri dilanda musibah, semua pakat2 bantu",258b98da-f0b,0,---,0,No,7/7/2022,positive,notsarc,my
29014,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",Kalau tak ada jentera backheo payah nak bersihkan,c899b183-b4e,0,---,0,No,6/7/2022,neutral,notsarc,my
29015,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",mentepp.. ????????,ae987939-a38,1,---,0,No,6/7/2022,positive,notsarc,my
29016,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",Alhamdulillah rakyat Malaysia x duduk diam psti tlng.,8f8b1b26-ad2,0,---,0,No,6/7/2022,positive,notsarc,my
29017,"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",suruh geng balak clearkan,c48e75a9-200,0,---,0,No,6/7/2022,positive,sarc,cm
29018,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Allahhuakbar Kesian nye dia org Semoga sabar byk2 dengan ujian allah,9fcda936-268,4,---,0,No,5/7/2022,positive,notsarc,my
29019,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Semoga tabah menghadapi ujian ALLAH SWT ni,b0ecdd40-7ba,2,---,0,No,5/7/2022,positive,notsarc,my
29020,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,"harap bnykkan doa & b""sabar buat mngsa yg t""libat??????????????",3a72cf94-2a3,2,---,0,No,5/7/2022,positive,notsarc,my
29021,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Allah....smoga dpemudahkan urusan dan semoga selamat smuanya,5b27d3d1-b8a,2,---,0,No,4/7/2022,positive,notsarc,my
29022,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,"sungguh besar dugaan mangsa2, semoga dipermudahkan segala urusan mangsa2 semoga mereka tabah menghadapi dugaanNya",95c960bd-fa2,2,---,0,No,5/7/2022,positive,notsarc,my
29023,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Allah hu Akhbar..moga dipmudahkn segala urusan..,20cfca3e-416,1,---,0,No,5/7/2022,positive,notsarc,my
29024,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,dekat kampung ayah saya??..x dapat contact ayah,a2b2179e-896,1,---,0,No,4/7/2022,negative,notsarc,cm
29025,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,belah utara hujan terus ya...moga slmat semuanya aaminn,2645fea3-a41,1,---,0,No,5/7/2022,positive,notsarc,my
29026,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Semoga Allah gantikn yg lebeh baik kpd semua yg terlibat .. In Shaa Allah.,75b93299-a4c,1,---,0,No,6/7/2022,positive,notsarc,my
29027,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,"dunia akhir zaman ,allah nak uji Kita ...semoga dipermudahkan setiap urusan orang2 yang terlibat dengan banjir ...amin ya mujib..",163d528c-eb8,1,---,0,No,5/7/2022,positive,notsarc,my
29028,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,"Bersabar lh, hidup ini sedang di uji, klu bkn di uji, bkn ujian namanya...Semoga banjir cpt surut , moga di permudahkan urusan ??",f4d46881-513,1,---,0,No,4/7/2022,positive,notsarc,my
29029,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Y ALLAH lju nye air..mcm kple air,578923fd-d39,1,---,1,No,5/7/2022,,notsarc,my
29030,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,kepala air turun,7c15bc81-b93,1,578923fd-d39,---,Yes,5/7/2022,neutral,notsarc,my
29031,allah sedih tngok keadaan banjir di kg iboi hari ini??..#kepalaair #banjir #balingkedah #latacelak #balingtiktok #fyp? Publish: 4-7-2022,Tak masuk berita utama pun !,436d84b7-c07,1,---,0,No,5/7/2022,negative,sarc,my
29032,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",tk sampai 1thun 2 kali banjir kilat besar MCM tu sebab apa ya....,009bcac6-edc,6,---,3,No,5d ago ,negative,notsarc,my
29033,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22","knn,kasihan pada mereka yg kena.",03558975-aff,0,009bcac6-edc,---,Yes,5d ago ,negative,notsarc,my
29034,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",hr ni tempat sy pn mendung jer tgh mlm tadi hujan shj,9cd5a5c7-873,0,009bcac6-edc,---,Yes,4d ago ,neutral,notsarc,my
29035,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",kesan projek musang king tu la..ambik masa lama gak nak pulih,097561ef-686,0,009bcac6-edc,---,Yes,5d ago ,negative,notsarc,my
29036,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",MCM mn hujung bln 11 nnti taburan hujan lg bnyk,dbc4a223-f19,3,---,0,No,5d ago ,neutral,notsarc,my
29037,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",sian org kat sana,6d1b8fe2-b6e,2,---,0,No,5d ago ,negative,notsarc,my
29038,"KG IBOI MENANGIS LAGI ????Allahuakbar.. Banjir di Kampung Iboi, Baling, Kedah petang tadi ????Semoga mangsa banjir tabah menghadapi ujian.Sumber: FB Najmudin Nadzri. #banjir2022 #kampungiboi #baling Publish: 07/09/22",tak selamat dah kampung tu,9e85d343-81c,1,---,0,No,5d ago ,negative,notsarc,my
29039,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",tu la menteri yg kita ada sekarang.. dah tau tempat tu senang banjir tapi tetap goyang kaki,b2f017b3-84e,8,---,0,No,21/8/2022,negative,sarc,my
29040,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022","menteri menteri no action taken sibuk kumpul duit untuk keluarga mereka, bagus, undi lagi untuk mereka teruskan",8c1ba94b-e9e,4,---,5,No,20/8/2022,negative,sarc,cm
29041,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",balik2 salahkan menteri bila bencana alam berlaku.menteri tau ke perkara nie berlaku??,05939502-a42,0,8c1ba94b-e9e,---,Yes,20/8/2022,positive,notsarc,my
29042,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",saya 1991..dah duduk kat sri muda..sekarang dah pindah klang.sahabat beli rumah sendiri,05939502-a42,1,8c1ba94b-e9e,---,Yes,20/8/2022,neutral,notsarc,my
29043,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022","OK LA tu selamat la kiranya, saya sangkut lagi sini, office, business, tanah, rumah sendiri dan lain lain semua sini, no way out",8c1ba94b-e9e,0,8c1ba94b-e9e,---,Yes,20/8/2022,negative,notsarc,cm
29044,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",kena bertabah sahabat..perkara banjir kita tak jangka.lagi2 melibatkan hujan yang lebat.pihak atasan macam2 buat atasi banjir yang tak tau bila datang,05939502-a42,1,8c1ba94b-e9e,---,Yes,20/8/2022,positive,notsarc,my
29045,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022","Dah bnyk duit habis, bnyk lagi kereta rumah penduduk situ tersadai, mana yg mampu kita tolong antara manusia dan sesama Islam,Takbir Allahuakhbar",8c1ba94b-e9e,0,8c1ba94b-e9e,---,Yes,21/8/2022,positive,notsarc,my
29046,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022","cepat, alihkan kereta ke tempat tinggi. bersiap utk pindah, bila diarahkan. take care all",a9a2524f-a8c,3,---,0,No,20/8/2022,positive,notsarc,cm
29047,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",hujan tu rahmat nti kena kemarau panjang tak dak air lgi la masalah besar,a499b7d5-ca3,2,---,0,No,20/8/2022,positive,notsarc,my
29048,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",tggu apa kata menteri,8e27a5b4-5e6,2,---,0,No,20/8/2022,neutral,notsarc,my
29049,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",Kena sit down bincang baik baik..tengok mana yg kurang..keluarkan bajet baiki..,07b19057-fa9,0,---,0,No,21/8/2022,positive,notsarc,cm
29050,"Banjir sedang melanda Taman Sri Muda, Shah Alam akibat hujan lebat sehingga menyebabkan air mula naik pada jam 5.15 petang tadi. #fyp #xtramy #banjir #tamansrimuda #shahalam #beritaditiktok #tontonmy Publish: 20-8-2022",Better change d name to Tmn Sri Banjir! Malu je!,55875b7b-52d,0,---,0,No,21/8/2022,negative,sarc,cm
29051,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,hujan lebat ke jb,5ff63cbb-7c5,7,---,3,No,2/8/2022,neutral,notsarc,my
29052,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,aah sis Dari tengahari,bcf4799a-98b,3,5ff63cbb-7c5,---,Yes,2/8/2022,neutral,notsarc,cm
29053,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,alamakk harap2 x hujan terus lah,5ff63cbb-7c5,0,5ff63cbb-7c5,---,Yes,2/8/2022,positive,notsarc,my
29054,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,kat tempat saya dari pagi pukul 10am dah start hujan sampailah sekarang masih hujan...Lokasi Nusajaya Johor Bahru..??,68a9225c-f39,0,5ff63cbb-7c5,---,Yes,2/8/2022,neutral,notsarc,my
29055,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,air lido naik ke mat.. ke ada construction kat area situ,649e7e9c-4e9,1,---,0,No,2/8/2022,negative,notsarc,cm
29056,JOHOR BAHRU BANJIR 2.8.2022 #BANJIR #johordarultakzim #fyp #fyp? #foryoupage #staysafe Publish: 2-8-2022,Allahu moga semua selamat dan bertenang hadapi dugaan ya ????,45555d12-13a,1,---,0,No,2/8/2022,positive,notsarc,my
29057,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,iboii menangis lagi ??????,cd17f64a-013,1,---,0,No,5d ago ,neutral,notsarc,my
29058,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,"kesiannya, semoga dpmudahkan semua urusan mereka yg terlibat????",55af3fb4-2ac,0,---,0,No,5d ago ,positive,notsarc,my
29059,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,Sekarang macam mana keadaan ye.... banjir dah surut ke,63ad0212-bd1,0,---,0,No,5d ago ,neutral,notsarc,my
29060,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,semoga penduduk sekitar nya di lindungi Allah SWT,e4f46920-3c4,3,---,0,No,5d ago ,positive,notsarc,my
29061,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,ya allah..kesianya kwan ku yg ada di kg iboi kupang..semoga semuanya tabah menghadapi semua ujian ini??,e6e54dd4-acb,1,---,0,No,5d ago ,negative,notsarc,my
29062,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,Lanskap sana dh berubah jadi haluan air dh setiap kali hujan pasti risiko??,f1ae9ab1-48f,1,---,0,No,5d ago ,negative,notsarc,my
29063,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,Saya jg mangsa banjir minggu lepas.. Faham sgt perasaan mereka yg senasib mcm saya ??,65705323-068,1,---,0,No,5d ago ,positive,notsarc,my
29064,banjir lagi...ya Allah semoga dipermudahkn segala urusan penduduk di sana????... #fyp? #trending #balingkedah #viral #fyou #fyou #banjiriboi Publish: 07/09/22,kena pindah dahhh,0f68b7d6-3d0,1,---,0,No,5d ago ,neutral,notsarc,my
29065,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,hidup UMNO musang king,e8a06e2f-f78,31,---,3,No,5/7/2022,positive,sarc,my
29066,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,tapi mmg empangan musang king yg pecah bang ?? saya tau la rumah saya kt situ.,fbc66239-3c1,5,e8a06e2f-f78,---,Yes,5/7/2022,negative,sarc,my
29067,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,"oh maaf tetinggal bas,sy tak tak thu",15e7f716-74b,0,e8a06e2f-f78,---,Yes,5/7/2022,neutral,notsarc,my
29068,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,bab ni kalau boleh jgn isukan politik na . di situ mmg kerap banjir . mak saudara saya cita .,e1158439-0d6,2,e8a06e2f-f78,---,Yes,5/7/2022,positive,notsarc,my
29069,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,kesan pembalakan,2e877c32-1a2,14,---,1,No,5/7/2022,negative,notsarc,my
29070,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,bukankah Allah berkata bahawa tangan ii manusia lah yg akan melakukan kerosakkan di atas muka bumi ini sdr..,c1b0f6fc-739,8,2e877c32-1a2,---,Yes,5/7/2022,neutral,notsarc,my
29071,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,bomba dn pnyelamat ni la antara wira2 yg trbaik,a8727f29-9a7,3,---,0,No,5/7/2022,positive,notsarc,my
29072,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,moga syurga firdauslah tempat kalian??????sebak sgt... al Fatihah,dc92c3ea-2ed,1,---,0,No,5/7/2022,positive,notsarc,my
29073,sedihnya?????? salam takziah buat keluarga mangsa banjir Baling yang meninggal dunia. #banjirbaling #banjir #kedah #mangsabanjir #menyayathati #peluk #beritaditiktok #trendingnewsmalaysia Publish: 5-7-2022,"dlm keadaan dia hamil,jga mertua dia lagi..Al-Fatihah utk arwah..semoga syurga bt mu..??",9b5db3c9-fca,1,---,0,No,5/7/2022,positive,notsarc,my
29074,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,"Kejadian hari ni 13/06/2022, sini memang macam ni x pernah selesai",d1181d11-0fc,70,---,0,No,13/6/2022,negative,notsarc,my
29075,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,"20 tahun aku duk sini, 20 tahun la setiap kali hujan sini banjir, aku duk perhati je keta nak lalu pastu sangkut ??",e30022d7-f18,97,---,5,No,13/6/2022,negative,notsarc,my
29076,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,"20 tahun aku duk sini,setiap hujan mesti sini banjir...ni aku baru paham",02f0fb75-330,3,e30022d7-f18,---,Yes,13/6/2022,negative,notsarc,my
29077,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,"takde ke menteri, yb duk situ..mntk bantuan sampan ke, mklumlah kita duduk tepi sungai????",9f7ec411-b5f,0,e30022d7-f18,---,Yes,14/6/2022,negative,notsarc,my
29078,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,memang seronok Aci tgk keta lagak nak lalu ??,e30022d7-f18,1,e30022d7-f18,---,Yes,13/6/2022,neutral,notsarc,my
29079,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,dah bertahun x selesai jalan ni.,97467c38-6c3,34,---,0,No,13/6/2022,negative,notsarc,my
29080,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,akan terus begini tiap Kali hujan sejam Dua.. .dh jd Jakarta asyik banjir...sbb bnyk kondo2 - shopping center dibina rapat2... sana sini bsimen,84a0fa8d-a26,7,---,1,No,13/6/2022,negative,notsarc,my
29081,#pandanindah #banjir #banjirkilatkl #banjir2022 #banjirkl Publish: 13-6-2022,boleh jadi. sebab jarak centre jakarta ke laut dekat sma dengan kl to port klang. hujan berlarutan + pengurusan bawah tanah menjadi factor pada hakisn,8948ec96-d70,0,84a0fa8d-a26,---,Yes,14/6/2022,negative,notsarc,my
