comment,label
"cepat, alihkan kereta ke tempat tinggi. bersiap utk pindah, bila diarahkan. take care all",c
hujan tu rahmat nti kena kemarau panjang tak dak air lgi la masalah besar,m
tggu apa kata menteri,m
Kena sit down bincang baik baik..tengok mana yg kurang..keluarkan bajet baiki..,c
Better change d name to Tmn Sri Banjir! Malu je!,c
hujan lebat ke jb,m
aah sis Dari tengahari,c
alamakk harap2 x hujan terus lah,m
kat tempat saya dari pagi pukul 10am dah start hujan sampailah sekarang masih hujan...Lokasi Nusajaya Johor Bahru..??,m
air lido naik ke mat.. ke ada construction kat area situ,c
Allahu moga semua selamat dan bertenang hadapi dugaan ya ????,m
iboii menangis lagi ??????,m
"kesiannya, semoga dpmudahkan semua urusan mereka yg terlibat????",m
Sekarang macam mana keadaan ye.... banjir dah surut ke,m
semoga penduduk sekitar nya di lindungi Allah SWT,m
ya allah..kesianya kwan ku yg ada di kg iboi kupang..semoga semuanya tabah menghadapi semua ujian ini??,m
Lanskap sana dh berubah jadi haluan air dh setiap kali hujan pasti risiko??,m
Saya jg mangsa banjir minggu lepas.. Faham sgt perasaan mereka yg senasib mcm saya ??,m
kena pindah dahhh,m
hidup UMNO musang king,m
tapi mmg empangan musang king yg pecah bang ?? saya tau la rumah saya kt situ.,m
"oh maaf tetinggal bas,sy tak tak thu",m
bab ni kalau boleh jgn isukan politik na . di situ mmg kerap banjir . mak saudara saya cita .,m
kesan pembalakan,m
bukankah Allah berkata bahawa tangan ii manusia lah yg akan melakukan kerosakkan di atas muka bumi ini sdr..,m
bomba dn pnyelamat ni la antara wira2 yg trbaik,m
moga syurga firdauslah tempat kalian??????sebak sgt... al Fatihah,m
"dlm keadaan dia hamil,jga mertua dia lagi..Al-Fatihah utk arwah..semoga syurga bt mu..??",m
"Kejadian hari ni 13/06/2022, sini memang macam ni x pernah selesai",m
"20 tahun aku duk sini, 20 tahun la setiap kali hujan sini banjir, aku duk perhati je keta nak lalu pastu sangkut ??",m
"20 tahun aku duk sini,setiap hujan mesti sini banjir...ni aku baru paham",m
"takde ke menteri, yb duk situ..mntk bantuan sampan ke, mklumlah kita duduk tepi sungai????",m
memang seronok Aci tgk keta lagak nak lalu ??,m
dah bertahun x selesai jalan ni.,m
akan terus begini tiap Kali hujan sejam Dua.. .dh jd Jakarta asyik banjir...sbb bnyk kondo2 - shopping center dibina rapat2... sana sini bsimen,m
boleh jadi. sebab jarak centre jakarta ke laut dekat sma dengan kl to port klang. hujan berlarutan + pengurusan bawah tanah menjadi factor pada hakisn,m
pandan Indah ke,m
Ya pandan indah,m
Ape yg terjadi kat baling sama mcm ape yg terjadi kat bentong last year. Sbb kerakusan manusia. Mesti byk pembalakkan kat ats sana,m
btoi sama cm terjadi cm kg kmi kt bentong..smua kayu balak..,m
30 ribu ekar bang kt ataih bukit nuu,m
btl kan tp tu la fail VVIP mmg diam je lah kes ni,c
terbaik la.. terus turun.. buat apa yg patut..,m
rasanya lebih baik sebelum terkena pergi periksa sebab dimerata tempat dah kena lebih dahulu..lagipun sepanjàng jalan pantai Lido dahulu dah terjadi,m
BN MENANG RAKYAT SENANG ??????,m
Tq MB????... Dh brtahun parit kt HSA tu x dslenggara...,c
mb kita mmg terbaik,m
bertahun dah masalah tu,m
sabarlah dengan dugaan Dari allah ??,m
Melihat apa permasalahan sebenarnya yang berlaku. Terbaik semoga Allah permudahkan segala urusan,m
"Terbaekkkkk, semoga Di permudahkn....",m
Tq MB johor,c
Alhamdulillah air dah semakin surut .. Terima kasih semua yg mendoakan ??,m
kmi balai bomba kampong berjaya kmi nk turun sna keadan sekarang mcm mna masih teqok ka,m
tpi tu la ad yg ibu mengandung hilang n oqang tua lumpuh tu xleh nk terbayang uhh,m
Projek naik bak cendawan slps hujan.. tapi Sistem perparitan Dan tapak tebatan banjir tiada,m
nak jimat pakai sistem perparitan sedia ada. ??,m
Hebat Jasa Najib ??,m
tahun ni ja dah berapa kali banjir ????,m
kalau bljr geog mesti tau musim tenkujuh sampai bulan brp sebenarnya,m
tak ingat dah lama tinggai sekolah ????.. takkan tak ada apa2 inisiatif nak kurangkan banjir? ????,m
mmg ah tpi tahun ii sblum ni x smpai bnjir brpa kali mcm thun ni,m
kuasa allah ujian dibulan ramadhan,m
"TAK PELIK DAN TAK HAIRAN,KALAU DH HILANG DARI PETA TU BARU HAIRAN DAN PELIK.",m
berapa lama lagi mahu menghadapi masalah ni? kenapa belum ada tindakan yang bernas. hopeless ministers and government!,c
cannot solve. no more place to store the rainwater bah??,c
sesiapa yg buat research pasal KL. Depa tahu kelemahan KL??,c
Negara Maju Vision 2020. Buat pembangunan Pesat Tanpa Saliran & Pembentungan yg Memandai..??????,c
kesalahan apa lagi yang HambaNYA lakukan lagi ni,m
longkang sumbat x de jln keluar utk air..tu je silapnya,m
KESALAHNYA ADELAH LONGKANG TERSUMBAT,m
ya allah.smoga cepat surut air ini,m
semoga hujan itu penghapus dosa2 kecik dan semoga covid pergi jauh dari muka bumi??,m
"Jauhi yg dilarang Nya dan kerjakan yg diwajibkan Nya.
jgn PRN seperti pesta, berkumpul dgn SOP longar tapi ketat ke mesjid sholat jum'at.",m
"Allah dah tunjuk,apa tindakan kita,semoga dipermudahkan segalanya ??????",m
ni la tanda2 Bila saf di masjid tak di rapat kan.allah tunjukan satu persatu kuasa nya,m
Yang pelik nya hujan lebat biasa pun banjir sampai macam ni kat kulai pun banjir????,m
betul ke ni. kl bnjir plk. Terengganu baru je lepas????,m
ya 7.3.22 hujan lebat lebih 1jam,m
"teguran allah s.w.t pd kita sume. byg kn penduduk terdesak, klcc diserbu ntk bekalan mcm mydin dulu",m
Kalau bukak masjid mesti tak mcmni . Tak pnah jadi mcmni . Allah uji satu2 .,m
"Allahu Akbar,KWSP bru jer keluar...kesiannya nk repair semua mahal...raya da DKT tgl beberapa hari jer lg...??????semua NIE adala ujian Allah...",m
Allah nak raya jadi mcm ni kena banyak bersabar la dugaan??????????,m
Kalo saya menangis smpi kuow air mata tngk knderaan tenggelam mcm ni..????????????????????,m
"buka lah kembali rumah allah tempat kita memohon,segala musibah akan segera hilang,ini adalah teguran allah,PLS buka kembali masjid.",m
Seriesly KLCC?,e
Tuhan dah bg cash slow n steady..masih ada yg lalai..musibah demi musibah melanda bumi malaysia skrg,c
maksiat bnyak sangat ditutupi dngan duit??,m
"sedihnya..
ni lah pasal Salah satu sebab kenapa duit kwsp diperlukan...takkan nak buat pinjaman..hurmmm",m
masalahnya pinjaman pun tak lulus,m
solat kena rapatkan saf...zina pun bermaharaja lela dah...jauhkan zina..benda tu perosak bangsa dan antara dosa yg tuhan balas dkat dunia sblm akhirat,m
Ya Allah ketuk lah hati pak menteri semua buka lah masjid.rapatkan saf.buat solat hajat.,m
penuhkan masjid n rapatkan saf....insyaAllah...,m
"Kalau Allah s.w.t kata “Jadi”, maka jadilah..siapa kita nk lawan takdir allah...",m
"walhal hujan lebat baru setakat 3 jam gitu.. tetiba dah banjir serupa mcm org kampung kena banjir.. sama2 rasa.. ya Allah, ampuni lah kami ??",m
global warming this is just the beginning,e
jgn start engine bukk bonet cabut battery,c
Solatlah spt yg dianjurkan..rapatkan saf. Biarkan mereka di luar sana dgn cara mrk..mohonlah padaNya keselamatan dan perlindungan.,m
This parking lot is not a new news btw. It happened almost every year. The parking management should take a preventative measure like send,e
GLOBAL WARMING LA. GOD ASKS YOU TO SOLVE IT. NOT JUST PRAY TO HIM. TAKE RESPONSIBILITY TO SOLVE IT!,e
kalau semua booster mesti X jadi mcm ni????????,c
so much money here and so much water to,e
ape pun rakyat malaysia kena bljr redho lps ni selagi kita xjaga kedaulatan agama kita...lps ni lg padu??,m
Nak gi masjid solat jumaat tak di bagi… ambiklah hujan tu.,m
smart tunnel x function ke?,c
"zaman dah maju eh skrg
blh mandi sambil shopping??",c
betul2 kat shopping pun boleh mandi ...????????,c
Alhamdulillah ikan pun pada berenang dan soping ke mal??,c
semoga kinder joy selamat????,c
kalian semua rakyat Malaysia kuat menghadapi ujian dari Allah aamiin aamiin ya Rabb ??????????????????????,m
"hello, nak tnya, bhgian tmpt parking dekat kg tu naik air tak? ??.. blh tak awak tnjuk vdeo bhgian parking kreta tu ??",c
smoge smue slamat sdare Melayu. salam dri Indonesia madura,m
dia yg dilangit memberi peringataan????,m
rumah sya baru nk naik air... rumah jiran dh tenggelam... semoga rumah ku terselamat ????,m
air ade lgi ke,m
rumah aku tenggelam jugak tapi dah surut,m
"saya dari aceh semoga allah melindungi semua ummat di syah alam,srimuda dan seluruh malaysia amin",m
ya Allah mcm mna dengan kucing yg x da tuan ?? ??,m
ya Allah msti ad yg bela kucing mcm mna dgn diorg Dan kucing2 diorg??,m
moga tabah dan diganti dgn yg lebih baik,m
Adik comel sabar ya yang pasti title ustazah jadi idaman terbaik,c
sabar ye. mmg penat + sedih yakin la. ada pelangi selepas hujan. ada rezeki selepas kejadian. Sy dh lalui??.,m
sabar n tabah wahai saudaraku ku di baling...moga Allah pmudahkan urusan kalian,m
So sad Ameen,e
Mashaallah ramai mendoakan?????? terima kasih smua moga allah mudahkan semuanya???? Alhamdulillah setakat ni hampir semua kawasan air dh mula surut ??,m
permudah segala urusan kaliannn...hikmah menanti..aaminn,m
Allahu semoga penduduk disitu tabah ??semoga dipermudahkan segala urusan dan lindungi semua dari bahaya... Aamiin??,m
"Sabaq ...ingat allah..apa pun jadi allah tetap sayang hambanya..mudahan allah pemudahkan sgala urusan.aamiin,aamiin,aamiin",m
"umno putar alam, tgk dekat pahang mcm mana,",m
"Dari kerajaan Umno dulu yg sapu balak, skrg nk jd wira, sembang kemassss phuiii",m
"Sembang lah azeez, siapa lulus projek",m
Beza depa ni dgn mb..walaupn beza prti tpi mb mai tnpa logo mna2 parti.tpi umno mai time nk jdi hero..,c
Org BN cm tu la hurmm..punca dri org parti dia jgk dlu,m
"Tanya la Mantan MB Kedah dulu, siapa yg bg kelulusan jual tanah kt Gunung Inas tu.... ????",m
kuat berak,m
?????? auta smua,m
kepada akk yg mendengar tu..cume hati² la mendengar...jgn mudah pcaya kata² ahli politik..xkisah la dari parti mane..dgr ble pcaye jgn,m
"hebat skill dia..
cakap jgn stop..
tup tup tup kena pandai susun ayat...
baru org percaya kita..",c
boss tabung haji ha ha ha????auta,m
yb sanusi dh bg video dr atas helicopter punca brlaku kepala air. umno wayang berpisah tiada,m
dia dan konco dia yg buat masalah ni dulu.. skrg dia cerita semula kesan apa dia buat dulu.. dgr lah Allah tunjukkan apa dia buat dulu,m
tu bnjir balak di mentakab pahang tu..pahang kerajaan BN,m
kes rasuah pling hebat dnye dr mntri bn..so skrg ni org politik mmg x boleh pcye..,c
hang jadi menteri songlap duit,m
kena pi tanya Boboi anak manja Tun.. balak n doyan tu sapa lulus..,m
"Hari ni 25/5/2022 jam 11:23am, betol hujan lebat wei!!! ??",m
Tpi video ni post 25/4 ??,c
Betul la... typo tu... tapi hari ni 25/5 hujan tak henti2.... ????,m
"betul la 25/4, cer tgk balik",m
Dia post video nie 25/4 tapi typo.. tapi KL mmg tgh hujan xberenti,c
Banjir ke ? Kl sentral ?,m
"belum tapi air dah melepasi paras normal, terowong smart dah tutup sebab air naik.",m
harini 25 banjir gak nais,c
ni tgh hujan la ni,m
video ni dari multiuniverse mana eh.,c
Aamin.... terima kasih semua warga tt yg mendoakan ?? maaf tak dapat nak reply semua. Takziah kepada mereka yang kehilangan insan tersayang Al-fatihah,c
Akk share naaa video ni,c
"Semoga tabah semua.. Abg ce bw drone tgk lokasi balak tu apa jd, sbb kata punca dr sana",m
dari kwsan balak. klau dari kwsan musangking Agak jauh jgk sbb spdan Gerik.,m
ladang musang king 1 punya..sbb hutan terdekat xdpt nk tapisan air hujan...??,m
hulu sungai kupang tu projek pe tuan..,m
dorg kta musangking.sbb org kg situ mmg tk bg.,m
MCM mana leh lps??ek. Jadi Gini auto orang kampung sana takkan berdiam diri dh betul2 .Hrp bertindak jgn ada kelulusan langsung buat apa2 tapak d situ,m
Sekarang dah tahu knp Alam ciptaan Allah marah dgn sikap kerakusan manusia. ??,m
Bang cuba p naik dron di bukit musangking tgk betul ka depa ckp pecah tanah runtuh,m
jga2 skit.takut la ni depa pasang jemmer.klu blh fly tinggi skit...,c
ya betoi paling besar 3000ekar tanam durian ??,m
apa yg sy tau bkn 3000 ekar tp 30000 ekar..2/3 ari nie ada yg up video psl kluasan tanah utk bt ladang durian..,m
betoi la tu Sya silap,m
mukhriz xdtg ke tngk hasil musang king dia..,m
dia bg lorong je bang org lain yg sapu????..duit dh byk biasalh nk lg byk itulah org politik????,m
bkn di Malaysia je bang tp dunia itu apa yg diaorg ckp??,m
paling terbesar Di dunia?????? manusia tamak habis bumi Allah...????,m
sy tak mampu nak reply semua komen. ini adalah amaran semalam. semoga kita semua dlm keadaan bersedia. terima kasih yg follow.,m
Btl tu beb.,m
Area Selatan pon hujan Hari2..,c
sentiasa bersedia dan rujuk met msia,m
Utara Belah Pulau Pinang laa nii jarang hujan Hmm Panas terik menerik untung negeri mana hujan lebat.,m
hujan lebat mmg best tapi yg kita risau banjir kilat tiba2,c
Sungguh noh Betoi.,m
kita tgk apa jadi kt pakistan. ngeri keadaan kt sana hampir satu negara lumpuh.,m
Betul tu cakap abg Takut la Di Akhir-akhir Zaman ni Macam ii perkara berlaku dlm masa sangat singkat.,m
sbnrnya cuaca extreme ni sebab kitaran solar minimum jadi inilah benda yg terjadi. semuanya ikut aturan sunnahtullah yg maha esa.,m
Selangor selalu je banjir..tapi Selangor juga la selalu xde air...mn pergi air semua tu????,m
banjir diselangor ni antara punca kegagalan sistem peparitan dan pembangunan ikut suka hati mak pak diaorg tanpa ambil kira kesan alam sekitar.,m
Masa air selangor under syabas xde maintenance berkala & 1 sistem perpaip-an. Bila Sy Air Selangor amek alih dorg tutup utk buat sistem paip baru..,m
mesti macai umno ni??,m
"Sblm air selangor ambil alih, siapa yg handle ya? Sekadar ingin tahu",m
tahu tak paip negeri selangor kena tukar berapa ribu km? boleh rujuk exco negeri. sbb tu kdg2 sesetengah lokasi xde air tu sbb baik pulih paip.,m
"betul la.. husb sy keje suk, adik kt air selangor.. skrg maintenance bkala, dh xde kes mcm dulu lg.. apa pn syabas kerajaan negeri.. ??",c
saya duduk di kawasan sg pelek alhamdulillah jarang sgt masalah air kecuali paip pecah. ikutkan mmg berjaya pengurusan kali ni.,m
rumah aku x prnah banjir tp risau jugak..ape ek kbiasaan prsediaan org yg slalu kena banjir?,m
Mse dgr ceramah ustaz ckp jangan wt andaian n letak kn tarikh n bln tertentu..wallahualam...,m
Salah faham ni. Cuba tanya orang yang lebih arif apa maksud ust cakap tu,m
tgh tpikir mcm2 ni.sbb dh lalui bulan 12 thn lps.Tgh tpikir nk beli plastik sampah yg tebal tu isi barang lps tu nk ikat atau selotip. kumpul 1blik,m
"utk simpan baju2,brg2 yg kita xdpt nk bw pindah.keluar modal beli kolam mandi budak.Buat lah simpanan utk lps banjir..",m
"rumah akak pun tak pernah banjir,tpi tahun lepas air naik juga area umah sebab kawasan sekitar semua dah banjir..semua kena bersedia",m
apa pelu prepre ya. sy bnjir slalu xtruk.. risau jg??,c
"prepare makanan skit,pastu kalau boleh sediakan pelampung besar macam tiub tayar lori ke(snang nk angkut barang),rak2 tinggi (blh letak brg letrik??",c
"rmh saya pun..tp klau bnjir sekeliling kg saya jd pulau,tp klau rmh saya kena jgk mmg dasyat la banjir kali ni..??",m
risau la umh sy. tahun lps paling truk. boleh tgk video tiktok pin sy ??????,m
betui la ??????,m
"iyer,,mula2 mcm ni makin lama makin keluar lumpur panas hingga menjadi kawah lumpur panas,mcm2 cara dah cuba,akibat dri tangan manusia",m
semoga penduduk sana selamat ye.. sentiasa berjaga jaga..,m
Hbs dlm vdeo ni kat mana??bukan indonesia?,m
"semoga tidak seperti DIINDONESIA, Lumpur lapindo dijawa TIMUR,...",m
blh cita mcm mna tjadi nya ?? and ni kt mna ye?,c
cuba search kt youtube,c
tergelam smua rmh kat sna ...sedih tgk,m
kan ....sya ade juga tgk yg terjadi dkt Indonesia,m
ni tanda landslide ni. mohon jg2 Dan berdoa la,c
Sama mcm gunung berapi jgk tp lumpur yg blh timbus..,m
"cari"" apa itu KB, ternyata kampung baru SABAH..SMG kita semua akan sentiasa dalam lindungan Allah AAMIIN,bila ye kejadian ini terjadi,...?",m
Kota Belud Sabah,m
baru mangkit dari koma ka,m
lawak jawapan ni??????,m
Bru kuar dr gua ni dia xtau punca dr mna dak dr plenet lain alen????????????,c
you pun sama koma berapa lama ????,m
lama jgk ditidurkan oleh kkm ni..??sykurlah dh sedar,m
Dari zaman umno lgi..dan zaman ph tmbhkn lgi hektar durian tu??zaman MB Sanusi dia trs stop tdk lgi trok..ank Tun jgn lari aa..kau aa kna jwab????,m
..sy setuju,m
Macai la ni,m
hahaha org lain buat tait org lain yg kena????,m
Elok bg salam dulu sebelum komen.,m
UMNO mana UMNO?,m
sila la siasat kita tgk sapa yg nk kena??,m
baru jagaa Dari lenaa Kaa apaa,m
selamat datang ke dunia nyata,m
aku setuju buat sesiatan..siapa yg harus bertgung jawab..aku pasti ni bkn baru setahun dua. ni mngkin dah berlaku 6 ke 7tahun lepas,m
"JPS meramalkan banjir akan berlaku di empat negeri PAHANG, KELANTAN, TERENGGANU, JOHOR BERMULA JUMAAT DAN SABTU INI susulan amaran hujan berterusan",m
tahap waspada dikeluarkan oleh JABATAN METEOROLOGI MALAYSIA (MET),m
sekolah atas bukit park sini,m
I hope its just ramalan ??,c
mersing here :],e
fi hifzillah smua;),m
harap ini ramalan sahaja ?????? ni baru sampai ganu . nak balik kl x Tau la mcmne kalo hmm ??,m
"raso kalu lebat gini, rama xleh mari, CANCEL, tunggu esk, yang penting tidur sodap ni",c
iya tadi hujan lbat,m
slalu air cpt surut kwsn bndar.. tpi kerosakan xleh nk buat apaa????,m
?????? hujan non stop 3jam,c
tq along??,e
tajuk lagu apa,e
"waalaikumussalam,aamin..??",m
"semoga kite semua di lindungi,.. n dipermudahkan segalenye????",m
semoga Allah gantikan dgn yg lebih baik????,m
Tapi syg masih ramai lagi umat nabi muhammad tidak menyedari setiap perbuatan yg kita laku kan..??..muhasabah diri,m
"Allahuakbar????
betul tu ,bnyk musibah Allah turunkan kat negara kita?????",m
Allah sentiasa ada antara titik ujian dan kerehaan hati mengharunginya. Semoga sabar n tabah ????,m
"ujian teguran tuk pemimpin yg melarang rakyat nya sholat dimasjid ,,klu macam ni apa bezanya dos123 dg yg tak dos",m
"kami nak
duit
KWSP
itukan
duit kami??",m
Moga tabah.. Aamiin3 yrb alamiin,m
Subhanallah..... Allah uji tanda Allah sayang,m
ya sahabat...dunia semakin tenat..sama2 kita perbaiki amalan kita.. Allahuakbar ????,m
Hakikatnya....setiap hari kita melakukan dosa tanpa kita sedar...Allah Maha Melihat & Maha Mengetahui apa yg ada dilangit dan dibumi,m
subhanallah .. ujian tanda Allah sayang... pasti ada pelangi yg menanti ..,m
sedihnya..sebak tgok vtt ni semua..,m
smart tunnel tido?,c
ppl in the car must be terrified ??,e
fuyyoooo...dh mcm kt luar negara dh...??,m
Ni baru covid19,m
time ni la di uji oleh Allah skrg sebuk nk mengudi kn ah kita tgk skrg ni kerajaan atlert tk tlg mangs ii banjir ni ??,c
Ada jugak kegunaan sanroof??,c
tengku zahrul dok ganga lagi 10k bgi la,m
ukraina hancur di musnah rusia.malaysia musnah di hancurkan banjir,m
sabar. la. dengan. ujian. Allah,m
Wow takda bantuan kah kerajaan bagi ?,m
Mw Tukar lagi Pemimpin ne agaknya.,m
Dgn undang2 yang mencabar allah memainkn agama. tidak boleh msuk masjid skrg malaysia di cabar oleh allah. spe lgi hebat,m
Menteri kita mna???? Senyap je….,m
sedih kan ????,m
alllahuakbar??..semoga baik2 saja semuanya,m
Ni macam kilang ayah saya,m
ya Allah syg kete smua tenggelam ??,m
bang macamana boleh banjir kuat hujan ka di sana,m
"nasib haritu hujan tak lebat sangat waktu nak gerak balik ke johor,stay safe orang kl",c
yaallah kenapa selalu kena banjir ni,m
ya Allah kasiannya..lindungi la saudara2 kami di sana..,m
my home town,e
follow saya baik,c
klu dkt airport kl banjir x ?,c
selagi sungai lembah x d usek ini jadi...pembatalan projek bn dh hulu...tanyak pkr....,m
mna org pn ada tolong ka ph mna ada tolong ka mangsa2 banjir,m
banjer bang bandi,m
Ahahahhahha,m
"kesian, 1 hari sembah 5 kali, pun tak diberkat",m
pelan² kamu mdak????,m
Moga semua baik2 sedja ????,m
semoga cepat pulih semua dn semua dlm keadaan baik,m
aik..baru ja ka ni? tmbunan area mna?,c
aik..ptiut la sungai d kgau pn mau besar..pdahal xda hujan,m
Harap bersabar Dan dipermudahkan segala urusan...,m
GBU all.. Warga Tmbunan ??,c
harap semua berlalu dgn cepat,m
bila ne mandak,m
bukit sana byk sudah yg gundul bah tu la sng ja banjir sna..smoga dipermudahkan urusan org yg terlibat??,m
stay save????,e
Tadi ke nie,m
OMG flooding everywhere be safe,e
bukit jalil down kesas Tewas diBadai Banjir,m
teh tarik Rm2.50,m
expensive.it should be 1.50,e
dalah setiap hari ujan lebat,m
flood is fun,e
Ternyata dunia ini singkat Dan harta tahtah Dan smuanya adalah milik Allah,m
wow d sabah ada salji??,m
biar ganti cerita.hari2 yg di takuti covit2 yg katanya ganas dan mematikan.trnyata itu tipu2 j.,m
??????????????am so happy to see all this happening in Malaysia!!! god pls don't stop make more waes?????????????? pls pls pls,e
abg kat kl tolong bagi Saya Netflix,m
sei lo hailat,c
koh ta duse sok da belagak sombong..serakah tuhan nga malas..,c
"perang.dh.mula.
mna. hesamhudin..jalan.udh.rutuh.????????????",m
satu mlysia ini kne bjir tahun ini..semua hrta benda rosak. tp KWSP ssh nk llus!!ingt brg yg utk baiki yg rosak tu tk pakai duit kali .,m
Ade org Tak dlm kereta tu????,m
Urraaaaaaa hesamhudin.nukelir..mna.jet.mna,m
ehhh Salah slot ni,m
kenapal banjir?,m
manal lahlal akul taul lahlal,c
murka Allah,m
Air dh marah kat manusia,m
bagi jela oranh solat rapat2 ni semua allah dah marah suka2 ubah cara nak solat cara nak ibadah ??,m
apa kena mengena ni...,m
Ya Allah..skrg ka ni eida..semoga sipermudahkan segala urusan..Aamiin????????,m
Aamiin????ye sal ptg td????,m
semoga baik2 saja semua ye??,m
nasib baik kat meru xde ape hehe..,m
"Ya Allah.. asyik banjir je skrg ni kan .banjir plk yg luar biasa..luar jangkaan .
semoga semuanya akan baik2 aje .aamiin",m
salam..allhu..sy hdr,m
moga dipermudahkan segala urusan ..ujian allah ada lah yg terbaik,m
Moga semuanya pulih sediakala.Aamiin??,m
selamat malam eida.. semoga kita sentiasa dlm perlindungan dan rahmat Allah SWT.???????,m
bila Allah mengkehendaki siap boleh halang ?,m
sekarang ker .,m
stay safe org kajang,c
ini smlm ke hari ni,m
allahuakbar.. stay safe semua,c
"bersiap sedia untuk semua
pjng langkah keselamatan diri dan keluarga.. dokumen pengenalan diri jgn lupa",m
i loveeee kajang??????,e
I love satay Kajang,e
"Tumpang tanya, Kajang ada hujan ke sekarang",m
"Semuga Allah lindungi kita, zuriat dan keturunan kita dan harta.. Aamiin",m
Benar masa kepimpinan Al-Mahdi ini keadilan ditegakkan Masjid digunakan optimum segala perbuatan wajib kearah kebaikan saling hormat tolong bersama.??,m
Allah hu Akbar. ya Allah permudahkanlah urusan orang orang yg kena musibah Aamin????,m
terbaik sis. payah jumpa pembantu melalui alam ghaib,m
Kita berkhidmat dalam apa jua alam ??,m
jadi jadi noh sistorr ??,m
Ni bukan banjir kilat doh.. Banjir selam,m
Nnti saya bagi kipas doraemon... Harap lpas ni sis bleh bgi lbih bnyak info ok????,c
Tolong cepat bagi sbb nk minta pintu ajaib ke rumah,m
ni kat mana? federal highway batu 3 ke?,c
mana Pak menteri Malaysia tdo ke??,m
yer lah tuu..??,m
kalau kt tmpt saya banjir becana alam...thn 2013 banjir besar mcm ni...,m
Terbaikkk sis????,m
Didoakan semua selamat.Aamiin,m
sukarelawan alam ghib..??,m
